word,frequency
bookstores,1
sparknb,1
atlantic,48
canada,122
recognized,16
innocence,3
erinburnett,8
torontodotcom,1
charlottesville,19
va,50
grand,49
thehermancain,4
documents,42
proving,14
directly,35
involved,70
super,92
committee,87
wasteful,9
grown,8
gallon,8
doubled,13
underdog,1
lucky,64
solid,28
candidate,229
cartels,13
murders,7
outrage,14
type,16
loans,16
premium,12
condemning,2
syria,169
disgrace,90
trying,251
stupid,173
less,169
average,37
unable,47
drugs,96
misrepresented,6
primary,147
rebuilding,39
rebuild,47
cares,54
reelection,7
traveled,5
earth,52
bobbeckel,3
resident,7
liberal,81
born,49
brain,16
monetary,7
spread,26
lower,94
unfriendly,2
regulatory,6
practices,11
prez,63
intellectuals,2
billionaire,69
interesting,211
numerous,44
curse,6
protesters,37
upset,30
protesting,6
buildup,3
resolute,6
maintain,11
stores,12
campaigning,41
followers,45
passing,40
sooner,15
later,72
largest,51
regime,21
taiwan,4
request,47
advanced,10
israeli,11
saudi,63
embassies,10
diplomatic,9
window,8
closed,43
cover,77
publicly,19
supporting,50
ows,7
protests,19
stagnant,5
premiums,46
treating,13
fools,40
mistakes,43
matters,31
blowing,15
incompetent,98
embraced,3
decline,12
evening,138
outsourcing,8
deficits,24
infrastructure,54
roads,19
finding,18
atherealkiyosaki,1
beckel,1
commentator,5
claims,62
choices,18
ones,53
unemployed,19
disagree,18
advance,16
death,99
misery,6
index,11
priced,4
promote,21
liberate,7
protestors,5
idly,3
steals,4
wwii,9
yen,1
recklessness,1
leaving,164
expending,1
amount,36
treasure,18
reimbursed,4
failed,210
creating,43
manufactured,6
finland,5
adopting,1
radical,210
sharia,1
law,286
printing,2
woes,2
strongly,97
timpawlenty,1
nominee,37
fundraising,21
yes,285
hair,41
topping,3
broadcast,18
federal,211
aid,56
unbelievable,52
financing,8
calling,85
nobody,160
notion,1
spring,28
canard,2
middle,110
east,84
conquered,3
lifetime,28
nominate,20
roll,26
damage,37
heard,122
unwatchable,12
false,137
sue,49
net,20
substantially,36
gretawirehttp,1
majority,67
rates,66
dropped,70
legislation,53
piersmorgan,82
sacrifices,7
respectfully,8
appreciated,29
reimburse,3
basic,9
standards,14
force,134
war,196
extremist,5
primaryhttp,3
owshttp,1
penalty,31
married,12
couples,1
penalized,2
healthcare,174
proposing,2
bernie,181
madoff,1
tony,14
russa,2
jon,57
stewart,43
racist,70
thedailyshow,9
al,58
qaeda,15
flag,63
flying,23
benghazi,70
snowed,1
inches,2
october,44
global,138
warming,113
hacking,19
satellites,1
agreed,94
includes,24
clip,24
doe,2
filed,28
bankruptcy,31
wasted,45
supercommittee,3
taliban,32
troops,77
dangerous,125
egypt,52
killer,38
collude,7
artificially,2
overvalued,1
reigned,1
witch,342
hunt,332
malfeasance,1
fannie,2
mae,1
freddie,2
mac,38
helped,52
cause,60
meltdown,15
quest,10
occupy,10
cyber,9
charges,43
feels,22
dummy,78
reporter,60
alhunt,1
boring,107
vision,60
living,49
extreme,19
poverty,21
timetogettough,115
correspondents,10
unsustainable,13
danger,30
dream,88
destroyed,64
caused,42
runaway,4
inadequate,3
taxing,5
sincere,7
frustrated,4
system,156
others,409
pressuring,4
restraint,3
drive,36
trash,7
pmisrael,1
defending,26
advocating,2
behalf,56
oppose,11
sanctions,61
execs,10
bonuses,9
bailed,6
herman,6
cain,3
handled,26
bail,10
eu,13
mess,168
subsequent,2
prove,45
corrupt,244
mic,5
endorsement,304
abolished,1
twice,29
paterno,7
political,284
analysts,3
turned,89
islamist,5
winter,22
perilous,1
behind,92
defeated,28
foreclosure,1
delaying,13
keystone,48
pipeline,30
narrated,2
discoveryhttp,1
distant,6
habitual,8
vacationer,8
lazy,10
hawaii,37
afford,21
food,89
delayed,18
export,7
fewer,15
insured,2
added,36
defeat,63
crucial,11
agreeing,10
impediment,1
sends,15
waterboarding,5
ksm,1
intelligence,107
bin,27
laden,26
entrepreneur,59
character,19
emerges,3
december,30
squawkcnbc,67
boonepickens,6
introducing,5
gophttp,2
forbes,49
guide,14
unveiled,2
listing,2
wins,112
army,43
chief,75
seeking,18
stronger,110
ties,138
span,5
criticize,16
possible,155
employment,25
since,320
replacing,10
retired,8
unless,53
skyrocketed,4
budgets,5
tightening,20
crossed,4
faces,9
existential,1
negative,107
admitted,39
cbohttp,2
complaining,25
marines,18
placed,19
meanwhile,5
bases,15
across,95
latin,7
alternative,18
vital,19
volatility,1
industry,53
regardless,13
usc,15
ruling,20
politically,53
legislatively,2
bankrupt,44
asia,22
elena,1
kagan,1
recused,4
cases,39
adjudicate,1
moderation,3
leftist,1
joyvbehar,2
violence,30
trouble,73
sale,23
aircraft,12
development,29
manage,9
built,149
licensed,2
name,180
threats,22
ways,39
admitting,17
projected,13
overtake,4
succeed,49
fails,19
exactly,72
automatic,3
unforced,3
error,5
disappointing,4
hot,29
bed,11
islam,11
protest,24
coup,17
attempt,18
mubarak,10
dec,14
outlines,2
amazonhttp,2
shocking,7
critical,37
deadline,10
traveling,9
least,128
outlay,1
dictate,4
executive,58
assistant,6
posts,5
trumpchicago,108
trumpsoho,46
trumplasvegas,45
travelandleisure,1
disclosure,9
detailing,3
alone,60
russia,400
indeed,43
ration,1
restricted,3
surgery,9
shut,50
strait,7
hormuz,6
islamists,8
disregard,2
